id x y theta
2 224.77 67.36 2.849
3 448.84 564.51 -0.007
4 683.17 134.11 -2.231
5 671.01 163.71 -2.360
6 669.19 508.35 0.378
7 542.79 726.13 2.728
8 43.59 334.43 -1.618
9 156.03 124.76 -0.858
10 378.29 471.21 -2.494
11 105.19 313.71 -1.198
12 98.40 270.28 -1.648
13 167.01 637.33 1.094
14 654.66 537.85 -1.154
15 504.82 679.54 -0.530
58
1 762.03 301.99 1.079
2 219.38 69.04 2.832
3 457.37 563.57 -0.144
4 682.54 133.93 -2.222
5 665.64 158.92 -2.314
6 671.22 508.20 0.345
7 531.59 729.66 2.681
8 44.18 330.11 -1.564
9 164.98 115.03 -0.917
10 373.79 467.45 -2.453
11 109.17 305.58 -1.130
12 99.66 264.55 -1.471
13 167.10 637.41 1.109
14 655.03 537.53 -1.159
15 512.57 674.48 -0.505
59
1 763.51 308.41 1.118
2 216.10 72.56 2.712
3 465.06 563.05 -0.161
4 681.86 132.95 -2.236
5 660.54 154.82 -2.258
6 675.22 508.37 0.335
7 520.60 732.73 2.771
8 44.42 325.27 -1.515
9 173.11 108.50 -0.761
10 369.94 464.98 -2.413
11 113.76 296.80 -1.178
12 99.86 263.21 -1.482
13 167.13 637.44 1.118
14 655.32 537.09 -1.163
15 520.57 669.48 -0.520
60
1 765.72 316.45 1.222
2 211.73 76.40 2.610
3 472.41 561.41 -0.189
4 679.32 129.81 -2.264
5 657.23 150.18 -2.297
6 679.93 508.41 0.341
7 508.96 735.74 2.704
8 45.05 320.51 -1.523
9 182.36 102.24 -0.729
10 365.22 460.97 -2.498
11 117.73 289.17 -1.141
12 100.20 267.86 -1.573
13 167.12 637.42 1.119
14 655.28 537.16 -1.173
15 529.48 664.21 -0.495
61
1 767.19 323.95 1.271
2 209.23 77.52 2.540
3 480.22 558.92 -0.306
4 676.67 127.73 -2.287
5 653.91 144.85 -2.130
6 683.27 509.10 0.359
7 498.65 739.97 2.689
8 45.70 314.43 -1.597
9 192.83 96.63 -0.743
10 362.18 458.10 -2.515
11 121.51 283.54 -1.145
12 100.08 269.00 -1.644
13 167.13 637.48 1.123
14 655.32 536.91 -1.169
15 537.93 658.30 -0.526
62
1 768.36 330.98 1.294
2 209.78 76.24 2.534
3 485.78 557.86 -0.330
4 673.41 122.89 -2.335
5 649.88 140.49 -2.076
6 686.89 510.98 0.364
7 488.09 744.14 2.667
8 46.01 309.71 -1.633
9 193.04 97.35 -0.708
10 356.06 453.62 -2.444
11 124.97 277.59 -1.209
12 99.89 268.52 -1.636
13 167.13 637.51 1.131
14 655.62 536.50 -1.113
15 546.33 653.11 -0.502
63
1 769.87 338.16 1.300
2 209.64 76.28 2.518
3 492.47 555.22 -0.370
4 672.23 122.18 -2.303
5 646.41 135.58 -2.035
6 691.64 512.33 0.439
7 479.79 747.20 2.658
8 46.46 305.14 -1.651
9 192.72 97.32 -0.705
10 351.21 449.37 -2.477
11 128.18 269.88 -1.215
12 99.94 267.85 -1.620
13 167.13 637.59 1.133
14 656.18 535.76 -1.104
15 553.95 647.56 -0.552
64
1 770.84 345.24 1.211
2 209.48 76.33 2.493
3 500.88 551.26 -0.462
